Aviso,AnioMes,Equipo,DenominacionEquipo,Area,Linea,Criticidad,Causa,DuracionParada_h,CategoriaPerdida,LigadoAOrden
900022,2025-01,EQ-0211,Chiller 1,Servicios,N/A,A,Obstrucción,4.0,Defectos y reproceso,1
900023,2025-01,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,1.8,Setup y ajustes,1
900024,2025-01,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Fatiga de material,6.0,Pérdida de velocidad,1
900025,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,5.4,Paradas menores,1
900026,2025-01,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,8.9,Paradas menores,0
900027,2025-01,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falla eléctrica,3.0,Averías,1
900028,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,10.7,Paradas menores,0
900029,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,12.8,Averías,1
900030,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,1.9,Defectos y reproceso,0
900031,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Ajuste incorrecto,4.6,Setup y ajustes,1
900032,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,11.4,Paradas menores,1
900033,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,9.8,Defectos y reproceso,1
900034,2025-01,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Fatiga de material,3.5,Averías,1
900035,2025-01,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falla eléctrica,0.8,Averías,1
900036,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,11.2,Averías,0
900037,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Falta de lubricación,6.9,Paradas menores,1
900038,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,11.6,Averías,1
900039,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Falla eléctrica,9.4,Averías,1
900040,2025-01,EQ-0202,Caldera 2,Servicios,N/A,B,Desgaste,8.9,Averías,1
900041,2025-01,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desalineamiento,1.6,Defectos y reproceso,1
900042,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,8.6,Paradas menores,1
900043,2025-01,EQ-0211,Chiller 1,Servicios,N/A,A,Falla eléctrica,12.1,Arranque,1
900044,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Contaminación,1.9,Defectos y reproceso,0
900045,2025-01,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falla eléctrica,11.2,Pérdida de velocidad,1
900046,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,5.7,Averías,1
900047,2025-01,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,9.0,Pérdida de velocidad,1
900048,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,11.1,Averías,1
900049,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,14.8,Setup y ajustes,1
900050,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Ajuste incorrecto,2.2,Pérdida de velocidad,1
900051,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,7.2,Setup y ajustes,1
900052,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,2.3,Averías,0
900053,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,12.8,Pérdida de velocidad,1
900054,2025-01,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,7.3,Averías,1
900055,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Obstrucción,5.7,Paradas menores,1
900056,2025-01,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Falla eléctrica,3.0,Averías,1
900057,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,7.0,Pérdida de velocidad,1
900058,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,1.5,Paradas menores,1
900059,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,10.9,Averías,1
900060,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Contaminación,15.0,Defectos y reproceso,1
900061,2025-01,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Fatiga de material,4.2,Paradas menores,0
900062,2025-01,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Fatiga de material,1.9,Averías,0
900063,2025-01,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falla eléctrica,2.9,Averías,0
900064,2025-01,EQ-0211,Chiller 1,Servicios,N/A,A,Falta de lubricación,4.9,Paradas menores,1
900065,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,3.6,Setup y ajustes,1
900066,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,12.8,Setup y ajustes,1
900067,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Contaminación,6.1,Averías,1
900068,2025-01,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,3.1,Paradas menores,1
900069,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Falla eléctrica,8.2,Setup y ajustes,1
900070,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,6.5,Averías,1
900071,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,9.0,Arranque,1
900072,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,8.0,Paradas menores,1
900073,2025-01,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Ajuste incorrecto,6.2,Paradas menores,0
900074,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,6.4,Paradas menores,1
900075,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,7.8,Paradas menores,1
900076,2025-01,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falta de lubricación,4.1,Pérdida de velocidad,0
900077,2025-01,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falla eléctrica,14.3,Setup y ajustes,1
900078,2025-01,EQ-0202,Caldera 2,Servicios,N/A,B,Desgaste,8.1,Averías,1
900079,2025-01,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falla eléctrica,11.8,Defectos y reproceso,0
900080,2025-01,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Contaminación,6.9,Paradas menores,1
900081,2025-01,EQ-0471,Transportador L3,Envasado,Línea 3,C,Ajuste incorrecto,4.2,Defectos y reproceso,1
900082,2025-01,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falla eléctrica,12.4,Paradas menores,1
900083,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,8.3,Defectos y reproceso,1
900084,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,8.7,Averías,1
900085,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,9.2,Defectos y reproceso,1
900086,2025-01,EQ-0211,Chiller 1,Servicios,N/A,A,Desalineamiento,9.3,Averías,1
900087,2025-01,EQ-0201,Caldera 1,Servicios,N/A,A,Falla eléctrica,9.5,Averías,1
900088,2025-01,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desalineamiento,3.9,Defectos y reproceso,1
900089,2025-01,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Fatiga de material,1.5,Paradas menores,1
900090,2025-01,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Fatiga de material,1.9,Averías,1
900091,2025-01,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,1.7,Averías,1
900092,2025-01,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,9.8,Averías,1
900093,2025-01,EQ-0201,Caldera 1,Servicios,N/A,A,Falla eléctrica,6.6,Averías,1
900094,2025-01,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falla eléctrica,6.4,Averías,1
900095,2025-01,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desgaste,4.0,Averías,0
900096,2025-01,EQ-0201,Caldera 1,Servicios,N/A,A,Obstrucción,5.9,Pérdida de velocidad,1
900097,2025-01,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Falta de lubricación,1.9,Paradas menores,1
900098,2025-01,EQ-0201,Caldera 1,Servicios,N/A,A,Ajuste incorrecto,12.6,Paradas menores,1
900099,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Fatiga de material,1.1,Setup y ajustes,1
900100,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,13.2,Averías,1
900101,2025-01,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,5.9,Averías,1
900102,2025-01,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Fatiga de material,7.2,Setup y ajustes,1
900103,2025-01,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,11.0,Averías,1
900104,2025-01,EQ-0211,Chiller 1,Servicios,N/A,A,Ajuste incorrecto,7.8,Averías,1
900105,2025-01,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,4.1,Paradas menores,1
900106,2025-01,EQ-0211,Chiller 1,Servicios,N/A,A,Desalineamiento,12.0,Defectos y reproceso,1
900107,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,7.2,Averías,0
900108,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,5.1,Averías,1
900109,2025-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falta de lubricación,10.8,Paradas menores,1
900110,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,8.7,Averías,1
900111,2025-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,6.8,Pérdida de velocidad,1
900112,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Falla eléctrica,3.9,Pérdida de velocidad,1
900113,2025-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,5.3,Averías,0
900114,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,4.3,Setup y ajustes,1
900115,2025-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Falta de lubricación,3.4,Setup y ajustes,1
900116,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,1.4,Defectos y reproceso,1
900117,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,7.8,Averías,1
900118,2025-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,5.9,Averías,1
900119,2025-02,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,4.6,Averías,1
900120,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,6.3,Averías,1
900121,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,12.3,Paradas menores,1
900122,2025-02,EQ-0201,Caldera 1,Servicios,N/A,A,Falla eléctrica,8.5,Averías,1
900123,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,3.7,Paradas menores,1
900124,2025-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,12.6,Paradas menores,1
900125,2025-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falla eléctrica,5.6,Averías,1
900126,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Ajuste incorrecto,5.6,Paradas menores,1
900127,2025-02,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Contaminación,7.3,Averías,0
900128,2025-02,EQ-0211,Chiller 1,Servicios,N/A,A,Desalineamiento,7.0,Averías,1
900129,2025-02,EQ-0211,Chiller 1,Servicios,N/A,A,Obstrucción,2.2,Averías,1
900130,2025-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,4.9,Averías,1
900131,2025-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Ajuste incorrecto,12.9,Defectos y reproceso,1
900132,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,12.1,Paradas menores,1
900133,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Fatiga de material,3.3,Averías,0
900134,2025-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desgaste,7.6,Pérdida de velocidad,0
900135,2025-02,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falla eléctrica,0.9,Averías,1
900136,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,11.1,Paradas menores,1
900137,2025-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Ajuste incorrecto,7.6,Averías,1
900138,2025-02,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desalineamiento,4.4,Defectos y reproceso,0
900139,2025-02,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,12.2,Pérdida de velocidad,1
900140,2025-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Fatiga de material,5.1,Paradas menores,1
900141,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,1.9,Paradas menores,1
900142,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,2.0,Pérdida de velocidad,1
900143,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,9.3,Averías,0
900144,2025-02,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desalineamiento,2.7,Arranque,1
900145,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,11.3,Arranque,1
900146,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,3.8,Defectos y reproceso,1
900147,2025-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,4.6,Averías,1
900148,2025-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,1.2,Averías,1
900149,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,9.0,Averías,1
900150,2025-02,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,7.7,Setup y ajustes,1
900151,2025-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,7.1,Pérdida de velocidad,1
900152,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,9.7,Averías,1
900153,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Fatiga de material,3.4,Paradas menores,1
900154,2025-02,EQ-0201,Caldera 1,Servicios,N/A,A,Fatiga de material,9.3,Averías,1
900155,2025-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Obstrucción,1.5,Averías,1
900156,2025-02,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falta de lubricación,2.4,Pérdida de velocidad,1
900157,2025-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Obstrucción,11.2,Arranque,1
900158,2025-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Falla eléctrica,1.8,Averías,1
900159,2025-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,7.6,Averías,1
900160,2025-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,2.3,Arranque,1
900161,2025-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,3.5,Defectos y reproceso,1
900162,2025-02,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falta de lubricación,1.6,Averías,1
900163,2025-02,EQ-0211,Chiller 1,Servicios,N/A,A,Falta de lubricación,1.5,Averías,1
900164,2025-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desalineamiento,6.6,Setup y ajustes,1
900165,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,2.0,Pérdida de velocidad,1
900166,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Ajuste incorrecto,7.5,Setup y ajustes,1
900167,2025-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falla eléctrica,3.3,Averías,1
900168,2025-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,8.9,Paradas menores,1
900169,2025-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,8.5,Paradas menores,1
900170,2025-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Falta de lubricación,6.0,Pérdida de velocidad,1
900171,2025-02,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,1.3,Setup y ajustes,1
900172,2025-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Fatiga de material,9.8,Averías,1
900173,2025-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falla eléctrica,4.7,Averías,1
900174,2025-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Fatiga de material,3.7,Setup y ajustes,1
900175,2025-02,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falta de lubricación,4.8,Setup y ajustes,0
900176,2025-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Obstrucción,1.9,Defectos y reproceso,1
900177,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,9.1,Pérdida de velocidad,1
900178,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Contaminación,8.5,Averías,1
900179,2025-02,EQ-0471,Transportador L3,Envasado,Línea 3,C,Fatiga de material,0.7,Averías,1
900180,2025-02,EQ-0210,Compresor 3,Servicios,N/A,B,Obstrucción,4.0,Averías,1
900181,2025-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Fatiga de material,1.3,Arranque,1
900182,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,10.6,Pérdida de velocidad,0
900183,2025-02,EQ-0210,Compresor 3,Servicios,N/A,B,Ajuste incorrecto,1.0,Paradas menores,1
900184,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falla eléctrica,14.8,Defectos y reproceso,1
900185,2025-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,2.8,Defectos y reproceso,0
900186,2025-02,EQ-0211,Chiller 1,Servicios,N/A,A,Desalineamiento,7.1,Arranque,0
900187,2025-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,3.8,Setup y ajustes,1
900188,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,14.6,Pérdida de velocidad,1
900189,2025-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,8.3,Averías,1
900190,2025-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,11.7,Averías,1
900191,2025-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Contaminación,10.0,Averías,0
900192,2025-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,4.1,Setup y ajustes,1
900193,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,7.9,Setup y ajustes,1
900194,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,2.0,Averías,1
900195,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,2.3,Averías,1
900196,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,10.8,Averías,1
900197,2025-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,13.8,Averías,1
900198,2025-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,8.5,Paradas menores,1
900199,2025-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Fatiga de material,5.8,Averías,1
900200,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Falta de lubricación,10.3,Pérdida de velocidad,1
900201,2025-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,13.2,Averías,1
900202,2025-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Contaminación,1.6,Averías,1
900203,2025-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,11.7,Averías,1
900204,2025-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Obstrucción,1.8,Averías,1
900205,2025-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Contaminación,1.7,Setup y ajustes,1
900206,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Fatiga de material,2.4,Averías,1
900207,2025-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Ajuste incorrecto,3.5,Paradas menores,1
900208,2025-02,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desgaste,7.4,Arranque,1
900209,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,13.4,Averías,1
900210,2025-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,14.2,Setup y ajustes,1
900211,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,12.1,Pérdida de velocidad,1
900212,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,14.4,Pérdida de velocidad,0
900213,2025-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,6.6,Averías,1
900214,2025-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,10.6,Averías,1
900215,2025-02,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,3.1,Paradas menores,1
900216,2025-03,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desgaste,6.8,Setup y ajustes,1
900217,2025-03,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Contaminación,7.1,Setup y ajustes,1
900218,2025-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Contaminación,3.6,Setup y ajustes,1
900219,2025-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falta de lubricación,3.6,Averías,1
900220,2025-03,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,7.5,Defectos y reproceso,1
900221,2025-03,EQ-0471,Transportador L3,Envasado,Línea 3,C,Obstrucción,5.7,Averías,1
900222,2025-03,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falta de lubricación,5.4,Setup y ajustes,1
900223,2025-03,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falla eléctrica,2.7,Setup y ajustes,1
900224,2025-03,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,6.0,Paradas menores,1
900225,2025-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falla eléctrica,10.4,Averías,1
900226,2025-03,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,7.0,Setup y ajustes,0
900227,2025-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,6.2,Averías,1
900228,2025-03,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desgaste,7.3,Averías,1
900229,2025-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Obstrucción,2.9,Averías,1
900230,2025-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,8.1,Setup y ajustes,1
900231,2025-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,4.0,Setup y ajustes,1
900232,2025-03,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desgaste,6.8,Averías,1
900233,2025-03,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,12.6,Averías,1
900234,2025-03,EQ-0202,Caldera 2,Servicios,N/A,B,Contaminación,10.3,Setup y ajustes,1
900235,2025-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Contaminación,9.5,Arranque,1
900236,2025-03,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falta de lubricación,5.5,Setup y ajustes,1
900237,2025-03,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,4.5,Averías,0
900238,2025-03,EQ-0210,Compresor 3,Servicios,N/A,B,Contaminación,1.9,Paradas menores,0
900239,2025-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,6.1,Setup y ajustes,1
900240,2025-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,13.3,Paradas menores,1
900241,2025-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,10.9,Paradas menores,1
900242,2025-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,12.8,Paradas menores,1
900243,2025-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,1.5,Paradas menores,1
900244,2025-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desalineamiento,3.6,Paradas menores,1
900245,2025-03,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,2.5,Defectos y reproceso,1
900246,2025-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Contaminación,6.0,Paradas menores,1
