Orden,AnioMes,Area,Linea,Equipo,DenominacionEquipo,Criticidad,TipoMantenimiento,ClaseOrden,EstadoCierre,Trabajo,TrabajoReal,CostoPlan,CostoReal,DiasCierre,RetrasoDias,FlagsCalidad,GrupoPlanificador,Prioridad,MotivoDetencion
400017,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,27.3,33.5,1774.2,1474.9,12,1,0,Servicios,Alta,
400018,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Correctivo,PM01,Cerrada,4.9,8.2,128.3,141.3,2,0,0,Servicios,Media,
400019,2025-01,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Correctivo,PM01,Abierta,7.4,2.7,673.8,266.8,,8,0,Instrumentación,Media,
400020,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Mejora,PM04,Cerrada,16.3,15.3,601.1,572.0,6,0,2,Instrumentación,Baja,
400021,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM02,Cerrada,7.7,8.6,231.0,254.3,6,9,2,Mecánico,Media,
400022,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Abierta,20.2,2.8,1549.6,428.5,,0,2,Eléctrico,Media,
400023,2025-01,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM03,Abierta,20.8,8.6,929.6,157.8,,17,16,Mecánico,Media,
400024,2025-01,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,22.1,24.5,774.8,815.9,15,0,2,Eléctrico,Baja,
400025,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,22.7,39.5,1285.5,1563.7,4,2,0,Eléctrico,Baja,
400026,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,22.8,47.1,1961.8,2793.0,8,0,2,Mecánico,Baja,
400027,2025-01,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Cerrada,27.3,55.7,2007.8,2606.8,7,0,4,Eléctrico,Media,
400028,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM03,Cerrada,4.5,4.9,93.7,95.5,8,0,2,Eléctrico,Baja,
400029,2025-01,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Correctivo,PM01,Cerrada,28.6,35.9,1496.2,1178.8,7,6,2,Eléctrico,Media,
400030,2025-01,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Correctivo,PM01,Cerrada,21.3,39.6,1494.3,1912.6,6,0,0,Mecánico,Alta,
400031,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,30.8,67.1,1680.6,2299.4,17,0,0,Eléctrico,Alta,
400032,2025-01,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM03,Cerrada,22.9,23.4,668.0,723.2,4,0,4,Servicios,Media,
400033,2025-01,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Correctivo,PM01,Cerrada,7.9,9.8,348.8,305.0,7,0,0,Eléctrico,Media,
400034,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Emergencia,PM05,Cerrada,12.6,25.3,835.4,1112.0,7,0,0,Eléctrico,Media,
400035,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM02,Cerrada,17.3,16.7,644.5,612.1,17,0,0,Instrumentación,Baja,
400036,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM03,Cerrada,14.0,13.2,550.4,564.1,17,3,3,Mecánico,Baja,
400037,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Abierta,20.1,3.4,1831.6,90.3,,12,0,Eléctrico,Media,
400038,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,16.9,20.4,1608.3,1259.0,14,0,2,Instrumentación,Alta,
400039,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,22.9,30.4,1762.4,1618.1,15,0,0,Eléctrico,Media,
400040,2025-01,Envasado,Línea 3,EQ-0471,Transportador L3,C,Correctivo,PM01,Cerrada,7.3,11.6,296.4,308.8,17,0,0,Mecánico,Alta,
400041,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM03,Abierta,4.6,1.3,242.0,82.4,,5,0,Eléctrico,Media,
400042,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Mejora,PM04,Cerrada,25.1,23.6,644.8,617.2,12,0,0,Eléctrico,Media,
400043,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM02,Cerrada,4.7,4.5,144.8,143.2,4,4,0,Mecánico,Media,
400044,2025-01,Envasado,Línea 3,EQ-0471,Transportador L3,C,Predictivo,PM06,Cerrada,9.6,9.9,207.2,221.1,15,0,0,Eléctrico,Baja,
400045,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM02,Cerrada,9.2,9.7,255.1,263.0,2,2,0,Mecánico,Baja,
400046,2025-01,Servicios,N/A,EQ-0202,Caldera 2,B,Correctivo,PM01,Cerrada,26.4,49.6,1415.4,1916.4,1,0,0,Mecánico,Media,
400047,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM02,Cerrada,7.0,6.5,256.6,227.9,15,0,6,Eléctrico,Alta,
400048,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM03,Cerrada,14.6,16.1,757.3,860.3,7,0,6,Servicios,Baja,
400049,2025-01,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Correctivo,PM01,Cerrada,30.9,66.9,1409.4,2186.6,3,0,0,Instrumentación,Media,
400050,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,4.9,7.9,391.3,413.5,7,0,2,Instrumentación,Media,
400051,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Emergencia,PM05,Cerrada,18.9,27.2,1252.4,1240.9,10,0,2,Eléctrico,Baja,
400052,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Abierta,30.1,8.6,2300.7,356.0,,0,0,Instrumentación,Baja,
400053,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Cerrada,13.8,13.1,544.3,483.8,13,0,0,Eléctrico,Media,
400054,2025-01,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Predictivo,PM06,Cerrada,13.4,13.2,638.5,646.1,5,0,4,Eléctrico,Media,
400055,2025-01,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Cerrada,24.1,51.2,1583.4,2102.3,12,0,0,Mecánico,Media,
400056,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,27.9,46.1,2330.3,2398.0,7,0,0,Mecánico,Alta,
400057,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM02,Cerrada,6.4,6.3,321.5,301.8,13,0,0,Mecánico,Media,
400058,2025-01,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,8.8,8.7,442.2,457.4,11,0,0,Eléctrico,Alta,
400059,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,27.9,42.3,2293.3,2237.6,9,0,4,Mecánico,Baja,
400060,2025-01,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM02,Cerrada,23.7,24.8,557.7,631.4,9,0,0,Eléctrico,Baja,
400061,2025-01,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM03,Cerrada,14.9,14.4,460.2,480.7,3,0,0,Eléctrico,Alta,
400062,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM02,Cerrada,14.8,16.4,440.6,530.3,7,0,0,Mecánico,Baja,
400063,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,18.1,36.8,1592.3,2011.6,14,0,0,Mecánico,Alta,
400064,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Abierta,23.6,1.7,838.9,425.7,,0,0,Mecánico,Alta,
400065,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,25.9,53.4,1475.6,2076.7,2,0,6,Mecánico,Alta,
400066,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM03,Cerrada,21.3,20.9,581.9,584.9,6,0,2,Mecánico,Baja,
400067,2025-01,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM02,Cerrada,7.3,7.0,243.0,239.0,16,0,0,Mecánico,Media,
400068,2025-01,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,25.3,26.5,522.8,591.1,9,0,6,Eléctrico,Alta,
400069,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Cerrada,12.3,11.3,417.0,381.1,4,0,6,Servicios,Baja,
400070,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM02,Abierta,6.0,1.3,244.9,60.1,,0,0,Eléctrico,Baja,
400071,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,26.8,40.9,1891.9,1920.7,1,0,4,Eléctrico,Baja,
400072,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Cerrada,17.4,16.5,902.0,827.8,3,4,4,Mecánico,Media,
400073,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Mejora,PM04,Cerrada,15.3,16.8,477.1,485.2,8,0,0,Mecánico,Media,
400074,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Mejora,PM04,Cerrada,24.6,23.6,1510.8,1378.9,13,0,0,Servicios,Baja,
400075,2025-01,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Correctivo,PM01,Abierta,16.9,0.9,1603.8,226.8,,27,2,Mecánico,Media,Requiere parada de planta
400076,2025-01,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,21.2,23.1,1148.5,1294.4,13,0,0,Mecánico,Media,
400077,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM02,Cerrada,12.3,12.8,343.9,379.5,2,0,4,Mecánico,Media,
400078,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,16.1,23.9,1231.1,1192.8,12,0,2,Mecánico,Baja,
400079,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM02,Abierta,3.6,0.6,152.8,48.9,,0,0,Eléctrico,Alta,
400080,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM03,Cerrada,24.9,27.2,1369.2,1608.8,9,0,0,Instrumentación,Baja,
400081,2025-01,Servicios,N/A,EQ-0202,Caldera 2,B,Correctivo,PM01,Cerrada,21.7,31.0,1228.5,1162.2,14,0,0,Mecánico,Alta,
400082,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,23.2,43.6,1742.7,2194.9,11,0,0,Mecánico,Media,
400083,2025-01,Envasado,Línea 3,EQ-0471,Transportador L3,C,Correctivo,PM01,Cerrada,26.2,45.9,1169.7,1261.3,3,0,4,Mecánico,Alta,
400084,2025-01,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Abierta,23.8,6.2,1100.8,189.5,,0,1,Mecánico,Alta,
400085,2025-01,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,13.0,13.8,380.6,392.8,3,0,0,Eléctrico,Media,
400086,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Cerrada,22.6,21.1,1188.2,1157.3,4,0,0,Instrumentación,Media,
400087,2025-01,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Cerrada,9.2,9.0,220.6,234.2,1,5,0,Eléctrico,Baja,
400088,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM02,Cerrada,20.4,20.2,672.9,724.1,8,0,2,Eléctrico,Media,
400089,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM03,Cerrada,6.9,7.2,135.6,131.0,1,0,2,Servicios,Alta,
400090,2025-01,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Preventivo,PM03,Cerrada,22.1,20.5,917.3,800.2,14,0,1,Eléctrico,Media,
400091,2025-01,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Preventivo,PM03,Cerrada,15.2,14.9,417.1,405.8,5,0,0,Mecánico,Baja,
400092,2025-01,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Cerrada,10.4,12.3,356.0,263.4,4,0,0,Eléctrico,Alta,
400093,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM03,Cerrada,20.9,21.2,1002.6,943.1,15,0,4,Instrumentación,Media,
400094,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Correctivo,PM01,Cerrada,15.1,24.5,1234.8,1242.0,14,0,0,Mecánico,Media,
400095,2025-01,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Correctivo,PM01,Cerrada,6.5,11.3,384.9,474.6,2,0,0,Eléctrico,Media,
400096,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM03,Abierta,18.9,2.7,903.1,415.5,,1,0,Mecánico,Media,
400097,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Abierta,31.3,7.4,1856.1,157.2,,0,0,Eléctrico,Baja,
400098,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM02,Abierta,18.8,4.6,654.2,161.9,,15,16,Eléctrico,Media,
400099,2025-01,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Cerrada,10.2,12.0,715.7,536.6,5,10,0,Eléctrico,Media,
400100,2025-01,Envasado,Línea 3,EQ-0470,Paletizador,B,Emergencia,PM05,Cerrada,18.7,23.1,1323.4,1113.6,16,8,0,Mecánico,Media,
400101,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM03,Cerrada,3.5,3.2,165.1,147.5,13,0,2,Instrumentación,Alta,
400102,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Correctivo,PM01,Cerrada,21.8,31.9,1187.6,1169.1,9,10,2,Mecánico,Baja,
400103,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Correctivo,PM01,Cerrada,3.5,6.5,280.6,324.1,16,5,0,Mecánico,Baja,
400104,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Emergencia,PM05,Cerrada,20.1,23.7,1290.8,940.2,11,0,0,Mecánico,Baja,
400105,2025-01,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Mejora,PM04,Cerrada,14.2,14.5,342.0,323.1,13,0,2,Eléctrico,Baja,
400106,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Emergencia,PM05,Cerrada,28.9,47.6,2331.9,2498.5,2,0,0,Eléctrico,Media,
400107,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM02,Cerrada,21.1,19.9,519.1,454.6,15,0,0,Eléctrico,Alta,
400108,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Correctivo,PM01,Cerrada,23.1,26.8,1051.8,758.2,2,0,0,Mecánico,Alta,
400109,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,8.8,16.9,495.5,630.4,7,0,0,Mecánico,Alta,
400110,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM03,Cerrada,24.5,25.4,643.9,651.7,14,0,1,Eléctrico,Media,
400111,2025-01,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Abierta,12.0,3.2,765.6,371.0,,13,0,Mecánico,Baja,
400112,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Mejora,PM04,Cerrada,12.1,11.5,553.3,513.0,10,0,2,Servicios,Alta,
400113,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Emergencia,PM05,Cerrada,31.5,58.9,1714.8,2214.7,5,0,0,Mecánico,Media,
400114,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM02,Cerrada,12.2,12.6,770.7,812.2,1,0,0,Eléctrico,Baja,
400115,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Mejora,PM04,Cerrada,2.3,2.6,85.9,92.5,1,0,0,Mecánico,Alta,
400116,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Cerrada,10.5,10.7,246.2,240.2,11,0,0,Eléctrico,Baja,
400117,2025-01,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,10.0,17.5,591.2,691.7,8,0,0,Eléctrico,Baja,
400118,2025-01,Envasado,Línea 3,EQ-0470,Paletizador,B,Correctivo,PM01,Abierta,31.4,6.3,1818.0,248.6,,19,0,Eléctrico,Media,
400119,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Correctivo,PM01,Cerrada,31.5,42.1,1419.9,1266.1,5,0,0,Mecánico,Media,
400120,2025-01,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Mejora,PM04,Cerrada,7.5,7.8,195.3,213.8,14,0,2,Eléctrico,Baja,
400121,2025-01,Envasado,Línea 3,EQ-0470,Paletizador,B,Correctivo,PM01,Cerrada,28.5,49.2,1621.0,1924.4,14,0,1,Servicios,Baja,
400122,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,24.8,51.1,2327.5,3403.7,9,0,6,Mecánico,Media,
400123,2025-01,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,13.8,15.0,458.1,511.9,1,0,4,Eléctrico,Media,
400124,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Correctivo,PM01,Cerrada,26.0,40.8,1915.6,2157.8,14,0,0,Instrumentación,Media,
400125,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM02,Cerrada,19.0,18.7,529.8,509.1,12,0,0,Eléctrico,Baja,
400126,2025-01,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,3.1,3.4,83.4,90.3,5,11,17,Mecánico,Baja,
400127,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,11.7,25.7,711.6,1104.3,2,0,1,Mecánico,Media,
400128,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Correctivo,PM01,Cerrada,12.8,24.4,329.6,436.7,7,5,6,Eléctrico,Baja,
400129,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM03,Cerrada,10.1,10.6,553.8,555.1,16,0,0,Mecánico,Baja,
400130,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM02,Cerrada,13.2,13.9,723.8,744.7,14,0,1,Mecánico,Baja,
400131,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM02,Cerrada,5.2,5.2,285.8,303.8,7,0,0,Mecánico,Baja,
400132,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM02,Cerrada,4.5,4.4,182.5,165.4,14,0,4,Mecánico,Media,
400133,2025-01,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM02,Cerrada,12.4,13.5,451.1,502.3,12,0,2,Eléctrico,Baja,
400134,2025-01,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,11.0,11.4,194.5,193.5,6,0,0,Mecánico,Baja,
400135,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Correctivo,PM01,Cerrada,23.7,48.9,2110.5,2962.5,7,0,2,Instrumentación,Alta,
400136,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Emergencia,PM05,Cerrada,20.0,30.6,1623.8,1655.3,16,0,2,Servicios,Alta,
400137,2025-01,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Cerrada,22.3,22.1,676.4,689.3,12,0,6,Eléctrico,Baja,
400138,2025-01,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,19.3,21.2,390.8,460.0,2,0,0,Mecánico,Baja,
400139,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Emergencia,PM05,Cerrada,23.9,41.1,1286.8,1470.9,11,0,0,Instrumentación,Baja,
400140,2025-02,Envasado,Línea 3,EQ-0471,Transportador L3,C,Correctivo,PM01,Cerrada,23.7,52.0,1236.9,1935.8,8,0,4,Eléctrico,Media,
400141,2025-02,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Cerrada,4.1,3.9,236.8,219.8,7,6,0,Servicios,Baja,
400142,2025-02,Envasado,Línea 3,EQ-0470,Paletizador,B,Emergencia,PM05,Cerrada,10.9,22.2,650.3,956.6,7,0,0,Mecánico,Baja,
400143,2025-02,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,16.9,17.5,675.1,722.8,9,0,0,Instrumentación,Baja,
400144,2025-02,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM03,Cerrada,3.6,3.5,133.3,129.1,8,11,0,Mecánico,Baja,
400145,2025-02,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,15.9,32.1,966.4,1341.3,11,4,0,Mecánico,Media,
400146,2025-02,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Cerrada,19.7,29.5,864.3,895.3,5,0,2,Eléctrico,Alta,
400147,2025-02,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,6.0,6.3,219.4,233.0,3,0,4,Mecánico,Media,
400148,2025-02,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM03,Cerrada,12.8,14.1,470.1,561.4,2,9,20,Mecánico,Alta,
400149,2025-02,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Abierta,21.3,1.1,1089.8,458.9,,0,0,Eléctrico,Media,
400150,2025-02,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Predictivo,PM06,Cerrada,10.5,11.0,449.2,487.4,14,0,1,Mecánico,Alta,
400151,2025-02,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM02,Cerrada,16.2,17.9,299.0,346.1,3,10,16,Mecánico,Media,
400152,2025-02,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,5.6,5.4,267.8,280.5,6,0,0,Mecánico,Media,
400153,2025-02,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,22.9,21.4,537.6,492.7,14,0,0,Instrumentación,Baja,
400154,2025-02,Servicios,N/A,EQ-0210,Compresor 3,B,Correctivo,PM01,Cerrada,24.6,47.9,964.6,1208.3,8,0,0,Mecánico,Media,
400155,2025-02,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Mejora,PM04,Cerrada,21.9,24.2,530.8,592.6,13,8,2,Instrumentación,Alta,
400156,2025-02,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Correctivo,PM01,Cerrada,20.2,30.7,1168.3,1098.7,8,0,4,Eléctrico,Media,
400157,2025-02,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Abierta,7.0,2.0,233.1,45.0,,0,0,Instrumentación,Alta,
400158,2025-02,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM03,Cerrada,6.0,5.9,179.5,188.6,16,0,0,Eléctrico,Media,
400159,2025-02,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,7.4,7.7,164.1,184.5,8,11,0,Mecánico,Media,
400160,2025-02,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Preventivo,PM02,Abierta,25.9,0.9,799.2,306.2,,0,2,Mecánico,Media,
400161,2025-02,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,10.2,10.1,313.6,308.0,3,0,0,Eléctrico,Media,
