AnioMes,Area,Linea,ToneladasProducidas,HorasOperacion,HorasDetencion
2026-01,Envasado,Línea 1,4343.7,632.9,60.8
2026-01,Envasado,Línea 2,4542.9,664.3,64.5
2026-01,Envasado,Línea 3,4327.6,654.8,70.8
2026-01,Proceso,Línea 1,3529.7,646.4,70.0
2026-01,Proceso,Línea 2,3274.3,647.5,71.3
2026-01,Servicios,N/A,0.0,653.0,55.8
2026-01,Bodega,N/A,0.0,656.0,66.6
2026-02,Envasado,Línea 1,4347.7,681.9,56.7
2026-02,Envasado,Línea 2,4538.3,681.2,69.4
2026-02,Envasado,Línea 3,4362.1,668.9,58.8
2026-02,Proceso,Línea 1,3535.1,683.1,64.2
2026-02,Proceso,Línea 2,3207.6,643.5,54.1
2026-02,Servicios,N/A,0.0,660.1,51.9
2026-02,Bodega,N/A,0.0,636.9,50.8
2026-03,Envasado,Línea 1,4009.7,643.8,53.5
2026-03,Envasado,Línea 2,4325.1,653.1,47.1
2026-03,Envasado,Línea 3,4580.5,675.5,53.0
2026-03,Proceso,Línea 1,3155.7,665.8,43.9
2026-03,Proceso,Línea 2,2982.6,649.6,57.5
2026-03,Servicios,N/A,0.0,655.1,44.2
2026-03,Bodega,N/A,0.0,645.2,47.3
2026-04,Envasado,Línea 1,3888.7,693.2,51.9
2026-04,Envasado,Línea 2,4121.3,669.4,38.3
2026-04,Envasado,Línea 3,4098.0,670.7,41.2
2026-04,Proceso,Línea 1,3081.5,642.7,47.2
2026-04,Proceso,Línea 2,3216.1,641.5,39.5
2026-04,Servicios,N/A,0.0,665.0,41.3
2026-04,Bodega,N/A,0.0,689.1,42.5
2026-05,Envasado,Línea 1,4075.6,664.7,44.9
2026-05,Envasado,Línea 2,3891.6,679.1,48.8
2026-05,Envasado,Línea 3,4098.0,692.9,44.6
2026-05,Proceso,Línea 1,2918.7,648.0,39.9
2026-05,Proceso,Línea 2,3132.3,675.4,35.8
2026-05,Servicios,N/A,0.0,689.5,41.5
2026-05,Bodega,N/A,0.0,695.2,46.9
2026-06,Envasado,Línea 1,4410.1,694.9,45.8
2026-06,Envasado,Línea 2,4290.2,676.0,45.8
2026-06,Envasado,Línea 3,4142.9,647.4,38.0
2026-06,Proceso,Línea 1,3211.6,679.0,45.7
2026-06,Proceso,Línea 2,2922.8,676.5,51.1
2026-06,Servicios,N/A,0.0,685.1,49.8
2026-06,Bodega,N/A,0.0,652.9,47.6
2026-07,Envasado,Línea 1,4139.6,664.3,45.8
2026-07,Envasado,Línea 2,4449.2,668.5,41.4
2026-07,Envasado,Línea 3,4329.8,654.1,42.1
2026-07,Proceso,Línea 1,3136.3,671.6,45.4
2026-07,Proceso,Línea 2,3123.4,685.5,47.5
2026-07,Servicios,N/A,0.0,665.5,47.7
2026-07,Bodega,N/A,0.0,672.0,46.3
2026-08,Envasado,Línea 1,3971.0,652.9,38.1
2026-08,Envasado,Línea 2,4132.1,650.3,41.9
2026-08,Envasado,Línea 3,3972.4,652.3,35.1
2026-08,Proceso,Línea 1,2986.2,684.1,46.0
2026-08,Proceso,Línea 2,2937.5,671.7,37.9
2026-08,Servicios,N/A,0.0,698.0,36.5
2026-08,Bodega,N/A,0.0,665.2,44.6
2026-09,Envasado,Línea 1,3859.2,661.6,35.2
2026-09,Envasado,Línea 2,4111.1,658.7,33.2
2026-09,Envasado,Línea 3,3982.7,678.5,38.3
2026-09,Proceso,Línea 1,3127.9,694.8,35.6
2026-09,Proceso,Línea 2,2858.4,688.0,45.0
2026-09,Servicios,N/A,0.0,655.6,30.3
2026-09,Bodega,N/A,0.0,690.7,36.9
2026-10,Envasado,Línea 1,3823.0,684.4,40.8
2026-10,Envasado,Línea 2,4338.6,675.1,38.3
2026-10,Envasado,Línea 3,4034.3,685.6,41.9
2026-10,Proceso,Línea 1,2962.6,660.7,29.9
2026-10,Proceso,Línea 2,2892.3,684.7,33.0
2026-10,Servicios,N/A,0.0,676.3,35.0
2026-10,Bodega,N/A,0.0,660.6,35.9
2026-11,Envasado,Línea 1,3994.8,678.0,42.5
2026-11,Envasado,Línea 2,3936.4,675.0,32.2
2026-11,Envasado,Línea 3,4327.4,700.4,36.5
2026-11,Proceso,Línea 1,3093.8,661.6,41.5
2026-11,Proceso,Línea 2,2971.4,674.7,35.2
2026-11,Servicios,N/A,0.0,657.2,36.3
2026-11,Bodega,N/A,0.0,683.0,37.7
2026-12,Envasado,Línea 1,4578.9,696.0,49.8
2026-12,Envasado,Línea 2,4204.9,683.1,34.5
2026-12,Envasado,Línea 3,4618.2,690.1,45.8
2026-12,Proceso,Línea 1,3258.6,682.1,34.8
2026-12,Proceso,Línea 2,3004.9,659.1,43.0
2026-12,Servicios,N/A,0.0,664.8,46.7
2026-12,Bodega,N/A,0.0,677.1,41.3
